motif,N,K,n,x,p,q
BBBBA,6000,2981,779,569,7.496766774922848e-46,5.3916140845909784e-45
BBBBG,6000,2981,921,657,1.4825686396121291e-47,1.1473792080476476e-46
GGGGEEE,6000,2981,1965,1265,1.674371817507942e-57,1.8340811293317765e-56
GBAAAA,6000,2981,510,378,5.974965270067876e-32,2.3218751192921494e-31
GGGGGGEE,6000,2981,1398,907,4.8015795330971944e-39,2.629788175050156e-38
EEEEEEEEE,6000,2981,3959,2411,9.371427203414516e-133,4.1702851055194603e-131
EEDDD,6000,2981,2125,1337,1.3086589378198205e-52,1.2941182829551558e-51
BBAAAAAA,6000,2981,1228,950,1.628580444673981e-109,5.270678530035792e-108
GGGGGGGEEE,6000,2981,1085,689,3.6014224652678535e-24,1.01754476002806e-23
EEAAAAAA,6000,2981,596,438,1.0569312700043946e-35,4.7628801534375254e-35
EGGGG,6000,2981,2117,1339,6.766945013008261e-55,6.88294978465983e-54
GGGGEEEE,6000,2981,1904,1224,2.5680885558473238e-54,2.5753226081173164e-53
GGGEEEEE,6000,2981,2179,1391,2.8603888093523666e-62,3.636780057605152e-61
EEEDDDDD,6000,2981,1876,1185,1.409807135653762e-45,9.841006672406655e-45
OOOOOOOOOOOOOOOOOOOOAAA,6000,2981,761,513,3.483272355824638e-26,1.0736319988515767e-25
BBBBBBBB,6000,2981,341,260,4.432184032158598e-25,1.3148812628737174e-24
EEEEGG,6000,2981,2703,1679,8.549710544427033e-69,1.2951901931132021e-67
EEEAAAA,6000,2981,696,493,2.153021957053747e-33,8.660743691651229e-33
EDDDDDDD,6000,2981,1795,1140,5.080092226116164e-45,3.511675402907485e-44
DDDDDDD,6000,2981,2326,1497,5.1751361642552034e-74,9.447940894742832e-73
OOOOAAA,6000,2981,834,561,1.8976100250470159e-28,6.284178315504537e-28
OOAAAA,6000,2981,760,527,7.382001326319374e-32,2.8410729428861595e-31
AACCCCC,6000,2981,266,237,2.7190186959641084e-44,1.843753630025186e-43
GGGGGGGG,6000,2981,1714,1075,8.910978591153464e-38,4.4997281963838765e-37
GGGGG,6000,2981,2806,1712,2.2806494521283442e-61,2.8488112454655813e-60
EEEEEEDDD,6000,2981,1847,1137,5.66011012700356e-35,2.487653339769466e-34
BBBBAAAA,6000,2981,484,360,6.406694640671459e-31,2.3038215071505447e-30
BBBBBG,6000,2981,606,437,2.4859028880112984e-32,9.778800310851075e-32
EGGGE,6000,2981,546,380,4.174366600515396e-23,1.1655486351242988e-22
ACCCCCC,6000,2981,249,221,1.1690685410211294e-40,7.05404068819529e-40
AAAAAAAAA,6000,2981,1851,1474,2.5536136037125276e-221,3.636345771686639e-219
EEGGGGG,6000,2981,1726,1090,1.3534779197287544e-40,8.09811999030986e-40
EEEFF,6000,2981,468,329,4.004146775252362e-21,1.0255224834459286e-20
DDDDDDDDDEE,6000,2981,1650,1031,1.0382470307474774e-34,4.400189796977405e-34
EEEEEEEEEEEEEE,6000,2981,3496,2118,8.797640119807261e-90,2.0206192791299255e-88
AABBBG,6000,2981,394,293,4.318303507233325e-25,1.2864569444142791e-24
BBAAAAAAA,6000,2981,993,795,4.679699964479279e-103,1.3883109894621859e-101
GGGGGGGGGGG,6000,2981,1044,670,2.664506520310025e-25,8.038680688392957e-25
EEEEG,6000,2981,3129,1943,9.57414794525954e-91,2.2722644456749308e-89
BBBBB,6000,2981,1107,783,1.304802533133766e-55,1.3662050052812375e-54
OOOOOAAAAAAA,6000,2981,504,388,2.477631165243203e-39,1.400058245756477e-38
BBBBBBB,6000,2981,505,379,4.7938715222631685e-34,1.972969088931431e-33
BAAAAAA,6000,2981,1859,1413,1.9906670610690423e-170,1.5748388305346202e-168
AAAAAAAAAA,6000,2981,1514,1238,1.8799968901566347e-194,1.9122254082736053e-192
EEEAAAAA,6000,2981,629,451,1.9659619064000248e-32,7.77647154087121e-32
DDDDDD,6000,2981,2417,1561,3.8571790172846255e-81,7.846604172304723e-80
AAAAAAAAAAAAE,6000,2981,240,204,1.6116795430743788e-31,6.136448313737742e-31
BBBBBBG,6000,2981,410,303,3.616257946196391e-25,1.0818385116352227e-24
BBBBBA,6000,2981,457,336,3.1812026582069565e-27,1.002219598514758e-26
AAAAAAAAAAE,6000,2981,384,315,5.0742669716525725e-42,3.2844346216514836e-41
AAAABB,6000,2981,1747,1339,4.9790925336165406e-164,3.222830803577252e-162
BBAAAAAAAA,6000,2981,763,636,6.580577285023548e-95,1.7353226025691725e-93
AABBB,6000,2981,1356,1041,1.678636284272807e-118,6.290468602117046e-117
BBBBBBGG,6000,2981,323,245,4.287483552649716e-23,1.1924563630807025e-22
FFFFFFD,6000,2981,426,311,2.5859973552497287e-24,7.335578155130704e-24
BBBAA,6000,2981,1201,874,9.969170114207762e-74,1.7745122803289817e-72
